id,target,label
0,171,0
1,8089,3
2,8568,3
3,47178,4
4,3634,2
5,215,0
6,1054,2
7,1106,2
8,109,0
9,3863,2
10,590,1
11,175,0
12,1399,2
13,39,0
14,444,1
15,64492,4
16,62284,4
17,154527,4
18,673,1
19,33,0
20,14480,3
21,176,0
22,1131,2
23,270,0
24,439,1
25,621,1
26,2211,2
27,11465,3
28,1308,2
29,2102,2
30,1461,2
31,322,1
32,1112,2
33,1106,2
34,14480,3
35,749,1
36,298200,4
37,276,0
38,550,1
39,13321,3
40,6503,3
41,121,0
42,33,0
43,14480,3
44,11495,3
45,17497,4
46,11852,3
47,3863,2
48,1054,2
49,3863,2
50,30954,4
51,550,1
52,6672,3
53,2828,2
54,6029,3
55,992,1
56,564,1
57,15764,4
58,6503,3
59,439,1
60,5755,3
61,33,0
62,844,1
63,2717,2
64,14480,3
65,439,1
66,54,0
67,2712,2
68,433,1
69,607,1
70,165,0
71,131,0
72,607,1
73,5164,3
74,14600,3
75,121,0
76,60667,4
77,2784,2
78,2756,2
79,121,0
80,31446,4
81,15196,4
82,760,1
83,321881,4
84,3651,2
85,2306,2
86,172,0
87,1668,2
88,5855,3
89,2201,2
90,50291,4
91,23383,4
92,882,1
93,1779,2
94,749,1
95,435,1
96,445,1
97,6700,3
98,607,1
99,3800,2
100,69062,4
101,121,0
102,1072,2
103,14480,3
104,88,0
105,329354,4
106,2237,2
107,5328,3
108,5749,3
109,464,1
110,145903,4
111,1199,2
112,607,1
113,238,0
114,44,0
115,6080,3
116,439,1
117,31,0
118,8568,3
119,62508,4
120,5307,3
121,296235,4
122,343,1
123,2754,2
124,31525,4
125,206753,4
126,1469,2
127,4453,2
128,59,0
129,239,0
130,778,1
131,30327,4
132,14480,3
133,433,1
134,121,0
135,3835,2
136,48979,4
137,904,1
138,243701,4
139,14480,3
140,4132,2
141,21845,4
142,3651,2
143,778,1
144,439,1
145,2716,2
146,42374,4
147,12481,3
148,16763,4
149,78503,4
150,772,1
151,2003,2
152,1712,2
153,1087,2
154,839,1
155,14480,3
156,14480,3
157,249,0
158,1461,2
159,992,1
160,4524,2
161,1430,2
162,4883,2
163,14480,3
164,218,0
165,69062,4
166,14480,3
167,4360,2
168,9009,3
169,11768,3
170,67,0
171,10051,3
172,3835,2
173,15196,4
174,1814,2
175,42374,4
176,2003,2
177,607,1
178,618,1
179,1399,2
180,772,1
181,11718,3
182,2651,2
183,30327,4
184,42,0
185,992,1
186,275,0
187,1374,2
188,185158,4
189,511,1
190,51748,4
191,385,1
192,33,0
193,28960,4
194,65,0
195,356,1
196,1127,2
197,4146,2
198,236,0
199,439,1
200,14480,3
201,14480,3
202,14480,3
203,1780,2
204,413,1
205,2741,2
206,439,1
207,39,0
208,167955,4
209,4220,2
210,13302,3
211,10672,3
212,719,1
213,439,1
214,296235,4
215,69,0
216,14480,3
217,11718,3
218,60667,4
219,22226,4
220,11382,3
221,1199,2
222,11495,3
223,1299,2
224,672,1
225,7599,3
226,291,0
227,7812,3
228,16086,4
229,2952,2
230,8568,3
231,439,1
232,20868,4
233,809,1
234,47178,4
235,322,1
236,10544,3
237,517,1
238,119647,4
239,95909,4
240,20868,4
241,719,1
242,11495,3
243,113157,4
244,12481,3
245,33,0
246,297,0
247,12486,3
248,15269,4
249,403,1
250,809,1
251,5643,3
252,618,1
253,2571,2
254,1267,2
255,35821,4
256,33,0
257,2003,2
258,30327,4
259,14480,3
260,6029,3
261,1054,2
262,961,1
263,29913,4
264,352,1
265,3521,2
266,97499,4
267,39,0
268,37706,4
269,2003,2
270,2349,2
271,433,1
272,36,0
273,155,0
274,1054,2
275,59,0
276,312,1
277,50666,4
278,11465,3
279,22971,4
280,50666,4
281,31446,4
282,69,0
283,14480,3
284,97499,4
285,146,0
286,98265,4
287,46,0
288,58,0
289,132,0
290,11469,3
291,607,1
292,607,1
293,42374,4
294,433,1
295,154527,4
296,302,1
297,1199,2
298,15196,4
299,445,1
300,618,1
301,62508,4
302,2046,2
303,14480,3
304,439,1
305,11718,3
306,31525,4
307,11718,3
308,920,1
309,5328,3
310,7847,3
311,618,1
312,16125,4
313,1054,2
314,1780,2
